# example_mission.csv — generated by scripts/make_example_csv.py (do not
# hand-edit; re-run the script instead).
#
# CSV FORMAT (see simulator/src/csv_reader.hpp for the authoritative
# contract):
#   Header: time_s,kind,id,type,px_m,py_m,pz_m,vx_mps,vy_mps,vz_mps,
#           confidence,intensity,flags
#   - kind: "sat" (primary satellite; type ignored) or "obj".
#   - type: debris|star|comet|satellite|ground_hot, or numeric 1-5.
#   - vx/vy/vz: all empty => no velocity; otherwise all three required.
#   - confidence: 0-100 (empty => 100). intensity: float (empty => 0).
#   - flags: empty => 0; only bit1 (2, HIGHLIGHT) may be set here — the
#     has-velocity bit is derived automatically from the velocity cells.
#   - lines starting with '#' and blank lines are skipped.
#
# Scenario: 1 satellite (550 km / 53 deg circular LEO) + 12 moving debris +
# 4 other satellites + 2 comets + 3 stationary stars + 4 stationary
# ground-hot objects (one HIGHLIGHT-flagged), sampled at 1 Hz from t=0..60s.
time_s,kind,id,type,px_m,py_m,pz_m,vx_mps,vy_mps,vz_mps,confidence,intensity,flags
0,sat,1,,6921000.000,0.000,0.000,-0.000,4567.173,6060.844,,,
0,obj,100,debris,1661625.809,-5147387.970,6283763.757,-4876.951,3101.585,3830.305,86,,
0,obj,101,debris,-3315117.626,5767827.428,-1793677.725,-4414.153,-4006.149,-4724.004,75,,
0,obj,102,debris,-3655442.839,-6196712.376,77089.536,4662.766,-2813.685,-5073.632,62,,
0,obj,103,debris,136815.711,-7675029.348,633447.283,-6483.573,-370.981,-3094.546,82,,
0,obj,104,debris,4523396.851,5792598.480,-1564947.877,-5754.295,4463.336,-111.600,52,,
0,obj,105,debris,3139738.838,-3236561.598,-5442667.999,3846.248,6270.672,-1510.142,92,,
0,obj,106,debris,3749298.504,-2471454.289,5368939.783,-6360.480,-2106.579,3472.012,87,,
0,obj,107,debris,-4102574.343,6389005.157,-615117.305,-5893.689,-3926.447,-1474.186,83,,
0,obj,108,debris,5752487.005,-2709373.097,-3301088.320,3911.042,6084.576,1821.469,82,,
0,obj,109,debris,3532501.380,-1654039.916,6606324.129,-2059.270,6360.772,2693.683,90,,
0,obj,110,debris,-7109635.400,-3489022.902,106894.111,3097.437,-6335.339,-771.751,56,,
0,obj,111,debris,2759123.993,6739549.264,911069.850,-6825.726,2774.751,145.383,52,,
0,obj,112,satellite,5525098.289,3943521.520,3358614.085,4437.447,-5708.119,-597.639,93,,
0,obj,113,satellite,5938247.915,-1382987.807,-3433721.046,2958.140,-2928.999,6295.485,100,,
0,obj,114,satellite,-6760154.709,-542400.677,-85899.972,-472.302,6520.542,-4003.634,73,,
0,obj,115,satellite,-1988931.683,-5822818.404,3844534.463,-6663.935,3034.810,1148.913,84,,
0,obj,116,comet,51871279935.207,36004329785.189,-111432091944.080,-29304.903,-20340.802,62954.041,91,,
0,obj,117,comet,43198632783.269,75477397245.026,-2400046601.574,-13547.561,-23670.533,752.681,69,,
0,obj,118,star,123601250823.455,335002029526.830,934075142056.453,,,,100,4.32,
0,obj,119,star,-26386921930.241,59249321013.348,-997894407395.143,,,,100,4.68,
0,obj,120,star,-362957376299.006,-910614016504.861,-197595688047.655,,,,100,2.69,
0,obj,121,ground_hot,-4200870.658,-4385704.683,1925596.309,,,,82,704.80,2
0,obj,122,ground_hot,3918410.956,-1523444.537,4786941.959,,,,98,1459.52,0
0,obj,123,ground_hot,5769027.158,2573401.982,-827990.874,,,,63,941.16,0
0,obj,124,ground_hot,638663.795,-5719718.583,-2732502.313,,,,74,1007.54,0
1,sat,1,,6920995.839,4567.172,6060.842,-8.321,4567.171,6060.840,,,
1,obj,100,debris,1656748.278,-5144284.585,6287591.864,-4878.111,3105.184,3825.909,86,,
